date_collected,park_code,park_name,state
2026-04-26,reer,Reconstruction Era National Historical Park,SC
2026-04-26,redw,Redwood National and State Parks,CA
2026-04-26,rich,Richmond National Battlefield Park,VA
2026-04-26,rigr,Rio Grande Wild & Scenic River,TX
2026-04-26,rira,River Raisin National Battlefield Park,MI
2026-04-26,rocr,Rock Creek Park,DC
2026-04-26,romo,Rocky Mountain National Park,CO
2026-04-26,rowi,Roger Williams National Memorial,RI
2026-04-26,roca,Roosevelt Campobello International Park,ME
2026-04-26,rori,Rosie the Riveter WWII Home Front National Historical Park,CA
2026-04-26,ruca,Russell Cave National Monument,AL
2026-04-26,sahi,Sagamore Hill National Historic Site,NY
2026-04-26,sagu,Saguaro National Park,AZ
2026-04-26,sacr,Saint Croix Island International Historic Site,ME
2026-04-26,sacn,Saint Croix National Scenic Riverway,"WI,MN"
2026-04-26,sapa,Saint Paul's Church National Historic Site,NY
2026-04-26,saga,Saint-Gaudens National Historical Park,NH
2026-04-26,sama,Salem Maritime National Historical Park,MA
2026-04-26,sapu,Salinas Pueblo Missions National Monument,NM
2026-04-26,sari,Salt River Bay National Historical Park and Ecological Preserve,VI
2026-04-26,saan,San Antonio Missions National Historical Park,TX
2026-04-26,safr,San Francisco Maritime National Historical Park,CA
2026-04-26,sajh,San Juan Island National Historical Park,WA
2026-04-26,saju,San Juan National Historic Site,PR
2026-04-26,sand,Sand Creek Massacre National Historic Site,CO
2026-04-26,safe,Santa Fe National Historic Trail,"CO,KS,MO,NM,OK"
2026-04-26,samo,Santa Monica Mountains National Recreation Area,CA
2026-04-26,sara,Saratoga National Historical Park,NY
2026-04-26,sair,Saugus Iron Works National Historic Site,MA
2026-04-26,scbl,Scotts Bluff National Monument,NE
2026-04-26,semo,Selma To Montgomery National Historic Trail,AL
2026-04-26,seki,Sequoia & Kings Canyon National Parks,CA
2026-04-26,shen,Shenandoah National Park,VA
2026-04-26,shil,Shiloh National Military Park,"TN,MS"
2026-04-26,sitk,Sitka National Historical Park,AK
2026-04-26,slbe,Sleeping Bear Dunes National Lakeshore,MI
2026-04-26,spra,Springfield 1908 Race Riot National Monument,IL
2026-04-26,spar,Springfield Armory National Historic Site,MA
2026-04-26,stsp,Star-Spangled Banner National Historic Trail,"MD,VA,DC"
2026-04-26,stli,Statue Of Liberty National Monument,NY
2026-04-26,stge,Ste. Geneviève National Historical Park,MO
2026-04-26,stea,Steamtown National Historic Site,PA
2026-04-26,stri,Stones River National Battlefield,TN
2026-04-26,ston,Stonewall National Monument,NY
2026-04-26,sucr,Sunset Crater Volcano National Monument,AZ
2026-04-26,tapr,Tallgrass Prairie National Preserve,KS
2026-04-26,thko,Thaddeus Kosciuszko National Memorial,PA
2026-04-26,whho,The White House and President's Park,DC
2026-04-26,thrb,Theodore Roosevelt Birthplace National Historic Site,NY
2026-04-26,thri,Theodore Roosevelt Inaugural National Historic Site,NY
2026-04-26,this,Theodore Roosevelt Island,DC
2026-04-26,thro,Theodore Roosevelt National Park,ND
2026-04-26,thco,Thomas Cole National Historic Site,NY
2026-04-26,edis,Thomas Edison National Historical Park,NJ
2026-04-26,thje,Thomas Jefferson Memorial,DC
2026-04-26,thst,Thomas Stone National Historic Site,MD
2026-04-26,tica,Timpanogos Cave National Monument,UT
2026-04-26,timu,Timucuan Ecological & Historic Preserve,FL
2026-04-26,tont,Tonto National Monument,AZ
2026-04-26,tosy,Touro Synagogue National Historic Site,RI
2026-04-26,trte,Trail Of Tears National Historic Trail,"AL,AR,GA,IL,KY,MO,NC,OK,TN"
2026-04-26,tule,Tule Lake National Monument,CA
2026-04-26,tusk,Tule Springs Fossil Beds National Monument,NV
2026-04-26,tuma,Tumacácori National Historical Park,AZ
2026-04-26,tupe,Tupelo National Battlefield,MS
2026-04-26,tuai,Tuskegee Airmen National Historic Site,AL
2026-04-26,tuin,Tuskegee Institute National Historic Site,AL
2026-04-26,tuzi,Tuzigoot National Monument,AZ
2026-04-26,ulsg,Ulysses S Grant National Historic Site,MO
2026-04-26,upde,Upper Delaware Scenic & Recreational River,"NY,PA"
2026-04-26,vall,Valles Caldera National Preserve,NM
2026-04-26,vafo,Valley Forge National Historical Park,PA
2026-04-26,vama,Vanderbilt Mansion National Historic Site,NY
2026-04-26,vick,Vicksburg National Military Park,"MS,LA"
2026-04-26,vive,Vietnam Veterans Memorial,DC
2026-04-26,vicr,Virgin Islands Coral Reef National Monument,VI
2026-04-26,viis,Virgin Islands National Park,VI
2026-04-26,voya,Voyageurs National Park,MN
2026-04-26,waco,Waco Mammoth National Monument,TX
2026-04-26,waca,Walnut Canyon National Monument,AZ
2026-04-26,wapa,War In The Pacific National Historical Park,GU
2026-04-26,wamo,Washington Monument,DC
2026-04-26,waro,Washington-Rochambeau Revolutionary Route National Historic Trail,"MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
2026-04-26,waba,Washita Battlefield National Historic Site,OK
2026-04-26,wefa,Weir Farm National Historical Park,CT
2026-04-26,whis,Whiskeytown National Recreation Area,CA
2026-04-26,whsa,White Sands National Park,NM
2026-04-26,whmi,Whitman Mission National Historic Site,WA
2026-04-26,wiho,William Howard Taft National Historic Site,OH
2026-04-26,wicr,Wilson's Creek National Battlefield,MO
2026-04-26,wica,Wind Cave National Park,SD
2026-04-26,wing,Wing Luke Museum Affiliated Area,WA
2026-04-26,wotr,Wolf Trap National Park for the Performing Arts,VA
2026-04-26,wori,Women's Rights National Historical Park,NY
2026-04-26,wwim,World War I Memorial,DC
2026-04-26,wwii,World War II Memorial,DC
2026-04-26,wrst,Wrangell - St Elias National Park & Preserve,AK
2026-04-26,wrbr,Wright Brothers National Memorial,NC
2026-04-26,wupa,Wupatki National Monument,AZ
2026-04-26,yell,Yellowstone National Park,"ID,MT,WY"
2026-04-26,york,Yorktown Battlefield Part of Colonial National Historical Park,VA
2026-04-26,yose,Yosemite National Park,CA
2026-04-26,yuho,Yucca House National Monument,CO
2026-04-26,yuch,Yukon - Charley Rivers National Preserve,AK
2026-04-26,zion,Zion National Park,UT
